cca3,country,continent,area_km2,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_start,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,future_warming_c_per_decade,outcome_population_year,outcome_population,future_density_per_km2,warming_percentile,density_percentile,future_exposure_index,target_exposure_class
ABW,Aruba,North America,180,1970,59106,328.3666666666667,,1960,28.199408333333338,0.1074595959595944,0.18984095480680793,0.3587666666666667,0.19795454545454605,1980,62267,345.9277777777778,0.4751131221719457,0.9095022624434389,0.6573556568037965,High
ABW,Aruba,North America,180,1980,62267,345.9277777777778,5.34801881365683,1970,28.167541666666672,0.19795454545454605,0.28782938385222967,0.3272166666666666,-0.27031818181818323,1990,65712,365.06666666666666,0.07239819004524888,0.9200603318250377,0.25809049334790274,Low
ABW,Aruba,North America,180,1990,65712,365.06666666666666,5.532625628342469,1980,28.342575,-0.27031818181818323,0.3026605084735206,0.32425833333333337,0.3221515151515145,2000,89101,495.00555555555553,0.6199095022624435,0.9411764705882353,0.7638352161451292,High
AFG,Afghanistan,Asia,652230,1970,10752971,16.48647103015807,,1960,13.961283333333332,-0.322575757575757,0.49422573987852364,0.4119833333333333,0.10884848484848536,1980,12486631,19.144521104518343,0.358974358974359,0.24283559577677225,0.29524862799024715,Low
AFG,Afghanistan,Asia,652230,1980,12486631,19.144521104518343,16.122613926885876,1970,14.035983333333334,0.10884848484848536,0.746613153295199,0.41252500000000003,0.15579797979798168,1990,10694796,16.39727703417506,0.43137254901960786,0.21568627450980393,0.30502645462949113,Low
AFG,Afghanistan,Asia,652230,1990,10694796,16.39727703417506,-14.350027641563202,1980,14.595183333333335,0.15579797979798168,0.4974842372584415,0.4213166666666667,0.7997121212121227,2000,19542982,29.963328887049048,0.9260935143288085,0.3212669683257919,0.5454569238121326,Medium
AGO,Angola,Africa,1246700,1970,6029700,4.836528435068581,,1960,21.887691666666665,0.09729797979798002,0.15473213301470418,0.3156,-0.18656565656565635,1980,8330047,6.6816772278816075,0.11161387631975868,0.09954751131221719,0.10540817622718641,Low
AGO,Angola,Africa,1246700,1980,8330047,6.6816772278816075,38.15027281622634,1970,21.906983333333336,-0.18656565656565635,0.26421844098879355,0.3906666666666666,0.3887525252525234,1990,11828638,9.487958610732333,0.6817496229260935,0.138763197586727,0.30757398724659757,Low
AGO,Angola,Africa,1246700,1990,11828638,9.487958610732333,41.99965498393947,1980,22.199141666666666,0.3887525252525234,0.24239085494695312,0.5175166666666666,0.4132525252525284,2000,16394062,13.14996550894361,0.7058823529411765,0.1794871794871795,0.35594498532664504,Medium
AIA,Anguilla,North America,91,1970,6283,69.04395604395604,,1960,26.82451666666667,-0.3831515151515186,0.19652735114348563,0.35830833333333334,0.15963636363636516,1980,6560,72.08791208791209,0.43891402714932126,0.5233785822021116,0.47928926676698164,Medium
AIA,Anguilla,North America,91,1980,6560,72.08791208791209,4.408721948113947,1970,26.748399999999997,0.15963636363636516,0.2400512064246888,0.3485083333333333,-0.14423232323232413,1990,8316,91.38461538461539,0.15233785822021115,0.5987933634992458,0.3020246654032605,Low
AIA,Anguilla,North America,91,1990,8316,91.38461538461539,26.76829268292682,1980,27.048000000000002,-0.14423232323232413,0.21073963294046585,0.31251666666666666,0.514823232323232,2000,11047,121.3956043956044,0.799396681749623,0.6968325791855203,0.7463549099027461,High
ALB,Albania,Europe,28748,1970,2324731,80.86583414498399,,1960,12.919900000000002,-0.6021414141414134,0.2835228407964226,0.3391416666666667,0.07163636363636505,1980,2941651,102.32541394183943,0.31975867269984914,0.6395173453996983,0.4522070516185462,Medium
ALB,Albania,Europe,28748,1980,2941651,102.32541394183943,26.53726388128348,1970,12.610949999999999,0.07163636363636505,0.3403777996884683,0.3155166666666666,0.6596515151515147,1990,3295066,114.61896479755113,0.8733031674208145,0.6832579185520362,0.7724579628930277,High
ALB,Albania,Europe,28748,1990,3295066,114.61896479755113,12.014171633548653,1980,12.775675,0.6596515151515147,0.2191448032904347,0.30144166666666666,0.307762626262628,2000,3182021,110.68669124808682,0.5957767722473605,0.669683257918552,0.6316500058029063,High
AND,Andorra,Europe,468,1970,19860,42.43589743589744,,1960,11.3271,-0.2284242424242407,0.4558721720015245,0.3502416666666667,0.04772222222222171,1980,35611,76.09188034188034,0.2971342383107089,0.5384615384615384,0.39999419882091003,Medium
AND,Andorra,Europe,468,1980,35611,76.09188034188034,79.31017119838873,1970,11.159275,0.04772222222222171,0.18021019049210776,0.31902500000000006,0.9680000000000011,1990,53569,114.46367521367522,0.9532428355957768,0.6817496229260935,0.8061469740217482,High
AND,Andorra,Europe,468,1990,53569,114.46367521367522,50.428238465642636,1980,11.671633333333334,0.9680000000000011,0.45626088114878643,0.28134166666666666,0.5479848484848479,2000,66097,141.23290598290598,0.8250377073906485,0.7330316742081447,0.777675235515068,High
ARE,United Arab Emirates,Asia,83600,1970,298084,3.565598086124402,,1960,27.741816666666672,0.11814141414141534,0.29183499272991315,0.7001166666666666,0.4263535353535367,1980,1014048,12.12976076555024,0.7149321266968326,0.167420814479638,0.34596895662652083,Medium
ARE,United Arab Emirates,Asia,83600,1980,1014048,12.12976076555024,240.18867164960213,1970,27.859050000000003,0.4263535353535367,0.344808164539297,0.5878833333333333,-0.04569191919192018,1990,1900151,22.72907894736842,0.21417797888386123,0.2669683257918552,0.23912075703315208,Low
