CCA3,Country/Territory,join_key,Country,_merge
AFG,Afghanistan,afghanistan,Afghanistan,both
ALB,Albania,albania,Albania,both
DZA,Algeria,algeria,Algeria,both
ASM,American Samoa,american samoa,American Samoa,both
AND,Andorra,andorra,Andorra,both
AGO,Angola,angola,Angola,both
AIA,Anguilla,anguilla,Anguilla,both
ATG,Antigua and Barbuda,antigua and barbuda,Antigua And Barbuda,both
ARG,Argentina,argentina,Argentina,both
ARM,Armenia,armenia,Armenia,both
ABW,Aruba,aruba,Aruba,both
AUS,Australia,australia,Australia,both
AUT,Austria,austria,Austria,both
AZE,Azerbaijan,azerbaijan,Azerbaijan,both
BHS,Bahamas,bahamas,Bahamas,both
BHR,Bahrain,bahrain,Bahrain,both
BGD,Bangladesh,bangladesh,Bangladesh,both
BRB,Barbados,barbados,Barbados,both
BLR,Belarus,belarus,Belarus,both
BEL,Belgium,belgium,Belgium,both
BLZ,Belize,belize,Belize,both
BEN,Benin,benin,Benin,both
BMU,Bermuda,bermuda,,left_only
BTN,Bhutan,bhutan,Bhutan,both
BOL,Bolivia,bolivia,Bolivia,both
BIH,Bosnia and Herzegovina,bosnia and herzegovina,Bosnia And Herzegovina,both
BWA,Botswana,botswana,Botswana,both
BRA,Brazil,brazil,Brazil,both
VGB,British Virgin Islands,british virgin islands,British Virgin Islands,both
BRN,Brunei,brunei,,left_only
BGR,Bulgaria,bulgaria,Bulgaria,both
BFA,Burkina Faso,burkina faso,Burkina Faso,both
BDI,Burundi,burundi,Burundi,both
KHM,Cambodia,cambodia,Cambodia,both
CMR,Cameroon,cameroon,Cameroon,both
CAN,Canada,canada,Canada,both
CPV,Cape Verde,cape verde,Cape Verde,both
CYM,Cayman Islands,cayman islands,Cayman Islands,both
CAF,Central African Republic,central african republic,Central African Republic,both
TCD,Chad,chad,Chad,both
CHL,Chile,chile,Chile,both
CHN,China,china,China,both
COL,Colombia,colombia,Colombia,both
COM,Comoros,comoros,Comoros,both
COK,Cook Islands,cook islands,,left_only
CRI,Costa Rica,costa rica,Costa Rica,both
HRV,Croatia,croatia,Croatia,both
CUB,Cuba,cuba,Cuba,both
CUW,Curacao,curacao,Curaçao,both
CYP,Cyprus,cyprus,Cyprus,both
CZE,Czech Republic,czech republic,Czech Republic,both
DNK,Denmark,denmark,Denmark (Europe),both
