country,cca3,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,area_km2,continent,target_exposure_class
Aruba,ABW,1970,59106,328.3666666666667,,28.199408333333338,0.1074595959595944,0.18984095480680793,0.3587666666666667,180,North America,High
Aruba,ABW,1980,62267,345.9277777777778,5.34801881365683,28.167541666666672,0.19795454545454605,0.28782938385222967,0.3272166666666666,180,North America,Low
Aruba,ABW,1990,65712,365.06666666666666,5.532625628342469,28.342575,-0.27031818181818323,0.3026605084735206,0.32425833333333337,180,North America,High
Afghanistan,AFG,1970,10752971,16.48647103015807,,13.961283333333332,-0.322575757575757,0.49422573987852364,0.4119833333333333,652230,Asia,Low
Afghanistan,AFG,1980,12486631,19.144521104518343,16.122613926885876,14.035983333333334,0.10884848484848536,0.746613153295199,0.41252500000000003,652230,Asia,Low
Afghanistan,AFG,1990,10694796,16.39727703417506,-14.350027641563202,14.595183333333335,0.15579797979798168,0.4974842372584415,0.4213166666666667,652230,Asia,Medium
Angola,AGO,1970,6029700,4.836528435068581,,21.887691666666665,0.09729797979798002,0.15473213301470418,0.3156,1246700,Africa,Low
Angola,AGO,1980,8330047,6.6816772278816075,38.15027281622634,21.906983333333336,-0.18656565656565635,0.26421844098879355,0.3906666666666666,1246700,Africa,Low
Angola,AGO,1990,11828638,9.487958610732333,41.99965498393947,22.199141666666666,0.3887525252525234,0.24239085494695312,0.5175166666666666,1246700,Africa,Medium
Anguilla,AIA,1970,6283,69.04395604395604,,26.82451666666667,-0.3831515151515186,0.19652735114348563,0.35830833333333334,91,North America,Medium
Anguilla,AIA,1980,6560,72.08791208791209,4.408721948113947,26.748399999999997,0.15963636363636516,0.2400512064246888,0.3485083333333333,91,North America,Low
Anguilla,AIA,1990,8316,91.38461538461539,26.76829268292682,27.048000000000002,-0.14423232323232413,0.21073963294046585,0.31251666666666666,91,North America,High
Albania,ALB,1970,2324731,80.86583414498399,,12.919900000000002,-0.6021414141414134,0.2835228407964226,0.3391416666666667,28748,Europe,Medium
Albania,ALB,1980,2941651,102.32541394183943,26.53726388128348,12.610949999999999,0.07163636363636505,0.3403777996884683,0.3155166666666666,28748,Europe,High
Albania,ALB,1990,3295066,114.61896479755113,12.014171633548653,12.775675,0.6596515151515147,0.2191448032904347,0.30144166666666666,28748,Europe,High
Andorra,AND,1970,19860,42.43589743589744,,11.3271,-0.2284242424242407,0.4558721720015245,0.3502416666666667,468,Europe,Medium
Andorra,AND,1980,35611,76.09188034188034,79.31017119838873,11.159275,0.04772222222222171,0.18021019049210776,0.31902500000000006,468,Europe,High
Andorra,AND,1990,53569,114.46367521367522,50.428238465642636,11.671633333333334,0.9680000000000011,0.45626088114878643,0.28134166666666666,468,Europe,High
United Arab Emirates,ARE,1970,298084,3.565598086124402,,27.741816666666672,0.11814141414141534,0.29183499272991315,0.7001166666666666,83600,Asia,Medium
United Arab Emirates,ARE,1980,1014048,12.12976076555024,240.18867164960213,27.859050000000003,0.4263535353535367,0.344808164539297,0.5878833333333333,83600,Asia,Low
United Arab Emirates,ARE,1990,1900151,22.72907894736842,87.38274716778693,27.794391666666673,-0.04569191919192018,0.36342013619098823,0.39665833333333333,83600,Asia,High
Argentina,ARG,1970,23842803,8.575313983599482,,14.919450000000001,0.2998787878787872,0.2242289956280393,0.22380833333333333,2780400,South America,Low
Argentina,ARG,1980,28024803,10.079414113077256,17.539884048029087,14.879241666666667,0.25767171717171766,0.2907409872717651,0.215125,2780400,South America,Low
Argentina,ARG,1990,32637657,11.738475399223134,16.459898041031717,15.123408333333334,0.13621717171717107,0.31871455854401876,0.198475,2780400,South America,Medium
Armenia,ARM,1970,2534377,85.20919207880846,,9.062958333333333,-1.0752878787878768,0.8378168318403062,0.42704166666666665,29743,Asia,High
Armenia,ARM,1980,3135123,105.40708738190499,23.70389251480738,8.848691666666667,0.4788636363636359,0.7237905208868805,0.3894083333333333,29743,Asia,Medium
Armenia,ARM,1990,3556539,119.57566486232055,13.441769270296566,9.139683333333332,0.013777777777776744,0.47084234843330486,0.3799416666666667,29743,Asia,High
American Samoa,ASM,1970,27075,136.05527638190955,,26.650491666666664,-0.046772727272725606,0.1898862670557984,0.38809166666666667,199,Oceania,Medium
American Samoa,ASM,1980,32886,165.25628140703517,21.462603878116337,26.756116666666667,0.1182525252525295,0.18738520276755147,0.3339583333333333,199,Oceania,Medium
American Samoa,ASM,1990,47818,240.29145728643215,45.40533965821323,26.911825,0.02848989898989586,0.1042539263696415,0.3166916666666667,199,Oceania,Medium
